epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.03809,2.89679,4.93152,2.78479,0.0003,0.09091,0.00017,4e-05,3.19078,5.58407,3.38019,4e-05,4e-05,4e-05
2,1.49119,2.80816,5.02677,2.72708,0.00144,0.43182,0.00106,0.00014,2.70797,5.16765,3.05496,9.802e-05,9.802e-05,9.802e-05
3,1.99267,2.50122,4.61663,2.49172,0.00311,0.93182,0.00404,0.0013,2.19832,4.49467,2.47135,0.000153664,0.000153664,0.000153664
4,2.51713,2.2029,4.24664,2.15847,0.00326,0.97727,0.00658,0.00301,1.70844,4.08352,1.87871,0.000206932,0.000206932,0.000206932
5,3.0921,2.05515,3.55326,2.08095,0.00326,0.97727,0.01469,0.0061,1.78529,3.92562,1.8138,0.000257824,0.000257824,0.000257824
6,3.60395,1.92705,2.96091,2.07197,0.00326,0.97727,0.09367,0.02032,1.59393,3.86514,1.76358,0.00030634,0.00030634,0.00030634
7,4.1121,1.8084,2.71555,1.90161,0.00326,0.97727,0.12849,0.03559,1.51878,3.8012,1.72675,0.00035248,0.00035248,0.00035248
8,4.62119,1.70414,2.52786,1.88924,0.00326,0.97727,0.16884,0.05821,1.47704,3.75826,1.63489,0.000396244,0.000396244,0.000396244
9,5.12313,1.64947,2.36258,1.76404,0.00333,1,0.13848,0.04132,1.40453,3.73499,1.52211,0.000437632,0.000437632,0.000437632
10,5.60323,1.71748,2.4332,1.80145,0.00333,1,0.09363,0.03698,1.34229,3.77732,1.4933,0.000476644,0.000476644,0.000476644
11,6.1052,1.55953,1.8758,1.66946,0.00333,1,0.05345,0.01745,1.42186,3.77395,1.54116,0.00051328,0.00051328,0.00051328
12,6.58254,1.56535,2.05864,1.69174,0.00333,1,0.03001,0.00956,1.39025,3.75051,1.45986,0.00054754,0.00054754,0.00054754
13,7.10343,1.4518,2.01134,1.53254,0.00333,1,0.00765,0.00277,1.46621,4.49828,1.69787,0.000579424,0.000579424,0.000579424
14,7.59664,1.72345,2.04377,1.75042,0.00333,1,0.00787,0.00312,1.46238,4.65072,1.62637,0.000608932,0.000608932,0.000608932
15,8.07073,1.44716,1.80012,1.57872,0.00326,0.97727,0.00732,0.00205,1.5449,5.86943,1.88696,0.000636064,0.000636064,0.000636064
16,8.52445,1.38056,1.85019,1.46534,0.00318,0.95455,0.00594,0.00157,1.63418,4.44088,1.99316,0.00066082,0.00066082,0.00066082
17,9.00382,1.33315,1.80395,1.38355,0.00326,0.97727,0.03207,0.02263,1.25556,3.76927,1.37274,0.0006832,0.0006832,0.0006832
18,9.46724,1.28569,1.43889,1.38887,0.01082,0.93182,0.12166,0.07942,1.34763,3.41088,1.46569,0.000703204,0.000703204,0.000703204
19,10.0129,1.17813,1.46338,1.28804,0.00333,1,0.04263,0.02927,1.24544,4.52156,1.4227,0.000720832,0.000720832,0.000720832
20,10.4651,1.20124,1.41238,1.31332,0.00333,1,0.70712,0.47315,1.22743,3.07937,1.33814,0.000736084,0.000736084,0.000736084
21,10.9348,1.3296,1.44933,1.36831,0.00333,1,0.82144,0.52128,1.20972,3.03011,1.34339,0.00074896,0.00074896,0.00074896
22,11.4323,1.43992,1.64942,1.49682,0.00333,1,0.82232,0.56779,1.08576,2.90825,1.25832,0.00075946,0.00075946,0.00075946
23,11.9009,1.15264,1.28771,1.23427,0.17263,0.71133,0.18607,0.12054,1.15052,3.0995,1.27329,0.000767584,0.000767584,0.000767584
24,12.3676,1.18657,1.36361,1.31083,0.13445,0.63636,0.14884,0.08515,1.41142,4.14731,1.50824,0.000773332,0.000773332,0.000773332
25,12.8352,1.23023,1.46709,1.29048,0.16418,0.75,0.18719,0.10644,1.48517,2.98596,1.56798,0.000776704,0.000776704,0.000776704
26,13.2926,1.2025,1.44894,1.27734,0.95138,0.44504,0.71584,0.44578,1.39733,2.85784,1.47416,0.0007777,0.0007777,0.0007777
27,13.798,1.26339,1.47897,1.3057,1,0.66519,0.96177,0.64262,1.14277,2.46522,1.3008,0.00077632,0.00077632,0.00077632
28,14.2667,1.26492,1.46587,1.37194,1,0.88259,0.97508,0.6527,1.27552,2.20108,1.32948,0.000772564,0.000772564,0.000772564
29,14.717,1.40391,1.317,1.3766,1,0.88259,0.97508,0.6527,1.27552,2.20108,1.32948,0.000766432,0.000766432,0.000766432
30,15.189,1.26094,1.28799,1.2989,0.68993,0.90909,0.713,0.49531,1.2134,1.95564,1.27751,0.000757924,0.000757924,0.000757924
31,15.663,1.15666,1.2013,1.27158,0.38658,0.8308,0.38614,0.26876,1.14196,2.04832,1.27962,0.00074704,0.00074704,0.00074704
32,16.1501,1.28979,1.468,1.36774,0.52555,0.86364,0.52003,0.33522,1.24818,1.93643,1.32189,0.00073378,0.00073378,0.00073378
33,16.5924,1.20676,1.24591,1.26198,0.52555,0.86364,0.52003,0.33522,1.24818,1.93643,1.32189,0.000718144,0.000718144,0.000718144
34,17.1388,1.0543,1.26662,1.22507,1,0.90195,0.97941,0.67039,1.14013,1.81346,1.24579,0.0006932,0.0006932,0.0006932
35,17.6201,1.16277,1.31762,1.24521,1,0.94993,0.995,0.7206,1.07518,1.60906,1.17336,0.0006536,0.0006536,0.0006536
36,18.1059,1.17789,1.24283,1.2335,1,0.96587,0.995,0.7081,1.10953,1.43859,1.1944,0.000614,0.000614,0.000614
37,18.5544,1.14998,1.17808,1.2006,1,0.96587,0.995,0.7081,1.10953,1.43859,1.1944,0.0005744,0.0005744,0.0005744
38,19.0106,1.07406,1.06734,1.13903,0.99441,1,0.995,0.68995,1.1699,1.32032,1.24314,0.0005348,0.0005348,0.0005348
39,19.4791,1.08716,1.25171,1.20426,0.99083,1,0.995,0.64008,1.23597,1.24931,1.28035,0.0004952,0.0004952,0.0004952
40,19.9444,0.94357,1.04833,1.11678,0.96674,0.97727,0.99163,0.6256,1.23515,1.19341,1.24976,0.0004556,0.0004556,0.0004556
41,32.28,1.34966,1.47874,1.39711,0.96674,0.97727,0.99163,0.6256,1.23515,1.19341,1.24976,0.000416,0.000416,0.000416
42,32.7411,1.23918,1.42151,1.35375,0.97062,1,0.99367,0.66335,1.11486,1.18198,1.17372,0.0003764,0.0003764,0.0003764
43,33.1987,1.17763,1.37094,1.26604,0.99614,1,0.995,0.73276,0.95758,1.19207,1.11819,0.0003368,0.0003368,0.0003368
44,33.706,1.02899,1.32122,1.12822,0.99689,1,0.995,0.74886,0.91903,1.16956,1.13101,0.0002972,0.0002972,0.0002972
45,34.1651,0.92558,1.31618,1.13877,0.99689,1,0.995,0.74886,0.91903,1.16956,1.13101,0.0002576,0.0002576,0.0002576
46,34.6571,0.92344,1.25037,1.1148,0.99748,1,0.995,0.75338,0.96406,1.08619,1.15453,0.000218,0.000218,0.000218
47,35.1303,0.95043,1.23527,1.13553,0.99785,1,0.995,0.7522,0.98623,1.0011,1.16765,0.0001784,0.0001784,0.0001784
48,35.612,0.86853,1.17532,1.11529,0.9981,1,0.995,0.75016,0.9875,0.92681,1.16757,0.0001388,0.0001388,0.0001388
49,36.0874,0.91504,1.26839,1.09975,0.9981,1,0.995,0.75016,0.9875,0.92681,1.16757,9.92e-05,9.92e-05,9.92e-05
